,dist_km,time_min,city,place_idx,name
301,280.874,163.2667,Québec,30,Advanced Bassin
302,31.279,29.1333,Laval,30,Advanced Bassin
303,181.993,111.0167,Gatineau,30,Advanced Bassin
304,36.569,36.1333,Longueuil,30,Advanced Bassin
305,179.617,109.7833,Sherbrooke,30,Advanced Bassin
306,265.305,155.0667,Lévis,30,Advanced Bassin
307,480.93,280.45,Saguenay,30,Advanced Bassin
308,156.017,95.0,Trois-Rivières,30,Advanced Bassin
309,45.378,37.2167,Terrebonne,30,Advanced Bassin
310,296.814,182.2667,Montréal,31,"Aerostyle - ecole de Parapente, Snowkite et de Paraski"
311,44.145,35.5167,Québec,31,"Aerostyle - ecole de Parapente, Snowkite et de Paraski"
312,310.942,185.0333,Laval,31,"Aerostyle - ecole de Parapente, Snowkite et de Paraski"
313,481.148,277.75,Gatineau,31,"Aerostyle - ecole de Parapente, Snowkite et de Paraski"
314,294.05,175.0833,Longueuil,31,"Aerostyle - ecole de Parapente, Snowkite et de Paraski"
315,277.966,166.55,Sherbrooke,31,"Aerostyle - ecole de Parapente, Snowkite et de Paraski"
316,61.891,49.0333,Lévis,31,"Aerostyle - ecole de Parapente, Snowkite et de Paraski"
317,199.857,155.3333,Saguenay,31,"Aerostyle - ecole de Parapente, Snowkite et de Paraski"
318,172.431,106.4167,Trois-Rivières,31,"Aerostyle - ecole de Parapente, Snowkite et de Paraski"
319,293.434,173.0333,Terrebonne,31,"Aerostyle - ecole de Parapente, Snowkite et de Paraski"
320,635.3,416.6333,Montréal,32,Agora Des Arts
321,871.64,538.95,Québec,32,Agora Des Arts
322,615.314,405.05,Laval,32,Agora Des Arts
323,525.779,354.7,Gatineau,32,Agora Des Arts
324,641.92,425.3167,Longueuil,32,Agora Des Arts
325,784.968,498.9667,Sherbrooke,32,Agora Des Arts
326,864.356,539.65,Lévis,32,Agora Des Arts
327,848.959,568.0833,Saguenay,32,Agora Des Arts
328,741.403,470.1833,Trois-Rivières,32,Agora Des Arts
329,625.403,408.2667,Terrebonne,32,Agora Des Arts
330,92.087,60.5167,Montréal,33,Ail du Temps
331,328.427,182.8333,Québec,33,Ail du Temps
332,72.101,48.9167,Laval,33,Ail du Temps
333,115.095,69.5833,Gatineau,33,Ail du Temps
334,98.707,69.2,Longueuil,33,Ail du Temps
335,241.755,142.85,Sherbrooke,33,Ail du Temps
336,321.143,183.5333,Lévis,33,Ail du Temps
337,528.483,300.0333,Saguenay,33,Ail du Temps
338,198.19,114.0667,Trois-Rivières,33,Ail du Temps
339,82.19,52.15,Terrebonne,33,Ail du Temps
340,460.726,271.1,Montréal,34,Air Defence Museum
341,207.926,123.8333,Québec,34,Air Defence Museum
342,474.854,273.8667,Laval,34,Air Defence Museum
343,645.06,366.5833,Gatineau,34,Air Defence Museum
344,457.962,263.9167,Longueuil,34,Air Defence Museum
345,441.878,255.3833,Sherbrooke,34,Air Defence Museum
346,225.803,137.8833,Lévis,34,Air Defence Museum
347,15.743,16.7167,Saguenay,34,Air Defence Museum
348,336.343,195.2667,Trois-Rivières,34,Air Defence Museum
349,457.346,261.8667,Terrebonne,34,Air Defence Museum
350,20.261,18.95,Montréal,35,Airport Florist
351,273.66,158.5,Québec,35,Airport Florist
352,28.841,26.2,Laval,35,Airport Florist
353,191.974,116.4333,Gatineau,35,Airport Florist
354,26.656,27.7667,Longueuil,35,Airport Florist
355,169.704,101.4167,Sherbrooke,35,Airport Florist
356,258.091,150.3167,Lévis,35,Airport Florist
357,473.716,275.6833,Saguenay,35,Airport Florist
358,148.803,90.25,Trois-Rivières,35,Airport Florist
359,39.69,33.6,Terrebonne,35,Airport Florist
360,144.329,93.3667,Montréal,36,Alaskan Adventure Dog Sledding
361,380.669,215.7,Québec,36,Alaskan Adventure Dog Sledding
362,124.343,81.7833,Laval,36,Alaskan Adventure Dog Sledding
363,150.156,102.4,Gatineau,36,Alaskan Adventure Dog Sledding
364,150.949,102.05,Longueuil,36,Alaskan Adventure Dog Sledding
365,293.997,175.7,Sherbrooke,36,Alaskan Adventure Dog Sledding
366,373.385,216.3833,Lévis,36,Alaskan Adventure Dog Sledding
367,580.725,332.8833,Saguenay,36,Alaskan Adventure Dog Sledding
368,250.432,146.9333,Trois-Rivières,36,Alaskan Adventure Dog Sledding
369,134.432,85.0,Terrebonne,36,Alaskan Adventure Dog Sledding
370,276.98,163.7167,Montréal,37,Albert Gilles Copper Art & Museum
371,24.311,16.9667,Québec,37,Albert Gilles Copper Art & Museum
372,291.108,166.4833,Laval,37,Albert Gilles Copper Art & Museum
373,461.314,259.2,Gatineau,37,Albert Gilles Copper Art & Museum
374,274.216,156.5333,Longueuil,37,Albert Gilles Copper Art & Museum
375,258.132,148.0,Sherbrooke,37,Albert Gilles Copper Art & Museum
376,42.057,30.4833,Lévis,37,Albert Gilles Copper Art & Museum
377,226.027,136.0667,Saguenay,37,Albert Gilles Copper Art & Museum
378,152.597,87.8667,Trois-Rivières,37,Albert Gilles Copper Art & Museum
379,273.6,154.4833,Terrebonne,37,Albert Gilles Copper Art & Museum
380,450.174,292.5333,Montréal,38,Alex's pub
381,264.873,169.55,Québec,38,Alex's pub
382,451.249,286.5,Laval,38,Alex's pub
383,621.455,379.2167,Gatineau,38,Alex's pub
384,456.879,291.9333,Longueuil,38,Alex's pub
385,466.289,300.5167,Sherbrooke,38,Alex's pub
386,282.75,183.6,Lévis,38,Alex's pub
387,113.132,88.1667,Saguenay,38,Alex's pub
388,326.439,216.3333,Trois-Rivières,38,Alex's pub
389,433.741,274.5,Terrebonne,38,Alex's pub
390,27.238,23.1833,Montréal,39,Alexandre-Bourgeau Park
391,281.194,164.6667,Québec,39,Alexandre-Bourgeau Park
392,39.077,31.1333,Laval,39,Alexandre-Bourgeau Park
393,183.953,109.8,Gatineau,39,Alexandre-Bourgeau Park
394,33.633,32.0,Longueuil,39,Alexandre-Bourgeau Park
395,176.681,105.65,Sherbrooke,39,Alexandre-Bourgeau Park
396,265.625,156.4833,Lévis,39,Alexandre-Bourgeau Park
397,481.25,281.85,Saguenay,39,Alexandre-Bourgeau Park
398,156.337,96.4167,Trois-Rivières,39,Alexandre-Bourgeau Park
399,47.224,39.7667,Terrebonne,39,Alexandre-Bourgeau Park
400,188.976,119.05,Montréal,40,Aliksir Organic Essential Oils
401,82.574,49.4833,Québec,40,Aliksir Organic Essential Oils
402,190.051,113.0167,Laval,40,Aliksir Organic Essential Oils
403,360.257,205.7333,Gatineau,40,Aliksir Organic Essential Oils
404,195.681,118.45,Longueuil,40,Aliksir Organic Essential Oils
405,198.692,123.3667,Sherbrooke,40,Aliksir Organic Essential Oils
406,79.563,50.3,Lévis,40,Aliksir Organic Essential Oils
407,282.63,166.6833,Saguenay,40,Aliksir Organic Essential Oils
408,51.54,34.4,Trois-Rivières,40,Aliksir Organic Essential Oils
409,172.543,101.0167,Terrebonne,40,Aliksir Organic Essential Oils
410,365.736,230.1333,Montréal,41,Alpacas Charlevoix
411,113.067,83.3833,Québec,41,Alpacas Charlevoix
412,379.864,232.9,Laval,41,Alpacas Charlevoix
413,550.07,325.6,Gatineau,41,Alpacas Charlevoix
414,362.972,222.95,Longueuil,41,Alpacas Charlevoix
415,346.888,214.4167,Sherbrooke,41,Alpacas Charlevoix
416,130.813,96.9,Lévis,41,Alpacas Charlevoix
417,157.248,126.2667,Saguenay,41,Alpacas Charlevoix
418,241.353,154.2833,Trois-Rivières,41,Alpacas Charlevoix
419,362.356,220.8833,Terrebonne,41,Alpacas Charlevoix
